DATA Act Element,SF-133 Line Number,SF-133 Sub-Line Number,USSGL Acct. (via USSGL Crosswalk File),USSGL Account Title,Begin/End,Debit/ Credit,Reimb Flag,Apport Cat,Auth Type Code,Avail Time,BEA Cat,Borrow Source,Fed/NonFed,Year of BA,PY Adj,Reduction Type,TAS Status,Trans. Code,Fund Type,Financing Account Code,Debit,Credit,Addl. Info.
52 - Amount of Budget Authority Appropriated,1900,1100,411200,Liquidation of Deficiency - Appropriations,E,D/C,,,,,D,,,,X,,U,X/K/N,EG/EP/ER,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1200,411200,Liquidation of Deficiency - Appropriations,E,D/C,,,,,M,,,,X,,U,X/K/N,EG/EP/ER,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1101,411300,Appropriated Receipts Derived from Unavailable Trust or Special Fund Receipts,E,D/C,,,P,,D,,,,X,XXX,U,X/K/N,ES/ET,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1102,411300,Appropriated Receipts Derived from Unavailable Trust or Special Fund Receipts,E,D/C,,,P,,D,,,,X,SEQ,U,X/K/N,ES/ET,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1171,411300,Appropriated Receipts Derived from Unavailable Trust or Special Fund Receipts,E,D/C,,,D,,D,,,,X,XXX,U,X/K/N,ES/ET,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1201,411300,Appropriated Receipts Derived from Unavailable Trust or Special Fund Receipts,E,D/C,,,P,,M,,,,X,XXX,U,X/K/N,ES/ET,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1203,411300,Appropriated Receipts Derived from Unavailable Trust or Special Fund Receipts,E,D/C,,,P,,M,,,,X,SEQ,U,X/K/N,ES/ET,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1271,411300,Appropriated Receipts Derived from Unavailable Trust or Special Fund Receipts,E,D/C,,,D,,M,,,,X,XXX,U,X/K/N,ES/ET,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1101,411400,Appropriated Receipts Derived from Available Trust or Special Fund Receipts,E,D/C,,,P,,D,,,,X,,U,X/K/N,ES/ET,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1171,411400,Appropriated Receipts Derived from Available Trust or Special Fund Receipts,E,D/C,,,D,,D,,,,X,,U,X/K/N,ES/ET,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1201,411400,Appropriated Receipts Derived from Available Trust or Special Fund Receipts,E,D/C,,,P,,M,,,,X,,U,X/K/N,ES/ET,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1271,411400,Appropriated Receipts Derived from Available Trust or Special Fund Receipts,E,D/C,,,D,,M,,,,X,,U,X/K/N,ES/ET,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1100,411500,Loan Subsidy Appropriation,E,D/C,,,P,,D,,,,X,,U,X/K/N,EG/EP/ER,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1170,411500,Loan Subsidy Appropriation,E,D/C,,,D,,D,,,,X,,U,X/K/N,EG/EP/ER,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1200,411500,Loan Subsidy Appropriation,E,D/C,,,P,,M,,,,X,,U,X/K/N,EG/EP/ER,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1270,411500,Loan Subsidy Appropriation,E,D/C,,,D,,M,,,,X,,U,X/K/N,EG/EP/ER,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1100,411600,Debt Forgiveness Appropriation,E,D/C,,,P,,D,,,,X,,U,X/K/N,EC/EG/EM/EP/ER/ES/ET/TR,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1200,411600,Debt Forgiveness Appropriation,E,D/C,,,P,,M,,,,X,,U,X/K/N,EC/EG/EM/EP/ER/ES/ET/TR,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1100,411700,Loan Administrative Expense Appropriation,E,D/C,,,P,,D,,,,X,,U,X/K/N,EG/EP/ER,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1170,411700,Loan Administrative Expense Appropriation,E,D/C,,,D,,D,,,,X,,U,X/K/N,EG/EP/ER,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1200,411700,Loan Administrative Expense Appropriation,E,D/C,,,P,,M,,,,X,,U,X/K/N,EG/EP/ER,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1270,411700,Loan Administrative Expense Appropriation,E,D/C,,,D,,M,,,,X,,U,X/K/N,EG/EP/ER,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1200,411800,Reestimated Loan Subsidy Appropriation,E,D/C,,,,,,,,,X,,U,X/K/N,EG/EP/ER,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1100,411900,Other Appropriations Realized,E,D/C,,,P,,D,,,,X,,U,X/K/N,EC/EG/EM/EP/ER/ES/ET,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1103,411900,Other Appropriations Realized,E,D/C,,,F,,D,,,,X,,U,X/K/N,EC/EG/EM/EP/ER,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1104,411900,Other Appropriations Realized,E,D/C,,,E,,D,,,,X,,U,X/K/N,EC/EG/EM/EP/ER,N,-,#ERROR!,
52 - Amount of Budget Authority Appropriated,1900,1170,411900,Other Appropriations Realized,E,D/C,,,D,,D,,,,X,,U,X/K/N,EC/EG/EM/EP/ER,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1200,411900,Other Appropriations Realized,E,D/C,,,P,,M,,,,X,,U,X/K/N,EC/EG/EM/EP/ER/ES/ET,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1200,411900,Other Appropriations Realized,E,D/C,,,P,,M,,,,X,,E,K/N,EG,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1270,411900,Other Appropriations Realized,E,D/C,,,D,,M,,,,X,,U,X/K/N,EC/EG/EM/EP/ER,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1150,412000,Anticipated Indefinite Appropriations,E,D/C,,,,,D,,,,,,U,X/K/N,EC/EG/EM/EP/ER/ES/ET/TR,N,#ERROR!,-,2
52 - Amount of Budget Authority Appropriated,1900,1250,412000,Anticipated Indefinite Appropriations,E,D/C,,,,,M,,,,,,U,X/K/N,EC/EG/EM/EP/ER/ES/ET/TR,D/G/N,#ERROR!,-,2
52 - Amount of Budget Authority Appropriated,1900,1101,412100,Amounts Appropriated From Specific Invested TAFS Reclassified - Receivable - Cancellation,E,D/C,,,P,,D,,,,X,,U,X/K/N,ES/ET,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1201,412100,Amounts Appropriated From Specific Invested TAFS Reclassified - Receivable - Cancellation,E,D/C,,,P,,M,,,,X,,U,X/K/N,ES/ET,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1702,412100,Amounts Appropriated From Specific Invested TAFS Reclassified - Receivable - Cancellation,E,D/C,,,S,,D,,,,X,,U,X/K/N,EC/EG/EM/EP/ER/ES/ET/TR,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1802,412100,Amounts Appropriated From Specific Invested TAFS Reclassified - Receivable - Cancellation,E,D/C,,,S,,M,,,,X,,U,X/K/N,EC/EG/EM/EP/ER/ES/ET/TR,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1200,412200,Authority Adjusted for Interest on the Bureau of the Fiscal Service Securities,B,D/C,,,,,M,,,,X,,U,X/K/N,EG,N,-,#ERROR!,1
52 - Amount of Budget Authority Appropriated,1900,1200,412200,Authority Adjusted for Interest on the Bureau of the Fiscal Service Securities,E,D/C,,,,,M,,,,X,,U,X/K/N,EG,N,#ERROR!,-,1
52 - Amount of Budget Authority Appropriated,1900,1101,412300,Amounts Appropriated From Specific Invested TAFS Reclassified - Receivable - Temporary Reduction,E,D/C,,,P,,D,,,,X,,U/E,X/K/N,EG/ES/ET,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1201,412300,Amounts Appropriated From Specific Invested TAFS Reclassified - Receivable - Temporary Reduction,E,D/C,,,P,,M,,,,X,,U/E,X/K/N,ET,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1400,412300,Amounts Appropriated From Specific Invested TAFS Reclassified - Receivable - Temporary Reduction,E,D/C,,,B,,M,,,,X,,U,X/K/N,ES,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1702,412300,Amounts Appropriated From Specific Invested TAFS Reclassified - Receivable - Temporary Reduction,E,D/C,,,S,,D,,,,X,,U,X/K/N,EC/EG/EM/EP/ER/ES/ET/TR,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1802,412300,Amounts Appropriated From Specific Invested TAFS Reclassified - Receivable - Temporary Reduction,E,D/C,,,S,,M,,,,X,,U,X/K/N,EC/EG/EM/EP/ER/ES/ET/TR,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1101,412400,Amounts Appropriated From Specific Invested TAFS Reclassified - Payable - Temporary Reduction/Cancellation,E,D/C,,,,,D,,,,X,,U,X/K/N,ES/ET,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1200,412400,Amounts Appropriated From Specific Invested TAFS Reclassified - Payable - Temporary Reduction/Cancellation,E,D/C,,,,,M,,,,X,,U/E,X/K/N,EG,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1201,412400,Amounts Appropriated From Specific Invested TAFS Reclassified - Payable - Temporary Reduction/Cancellation,E,D/C,,,,,M,,,,X,,U,X/K/N,ES/ET,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1200,412500,Loan Modification Adjustment Transfer Appropriation,E,D/C,,,,,M,,,,X,,U,X/K/N,EG/EP/ER,D/G/N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1101,412600,Amounts Appropriated From Specific Invested TAFS - Receivable,B,D/C,,,P,,D,,,,X,XXX,U/E,X/K/N,ES/ET,N,-,#ERROR!,1
52 - Amount of Budget Authority Appropriated,1900,1201,412600,Amounts Appropriated From Specific Invested TAFS - Receivable,B,D/C,,,P,,M,,,,X,XXX,U/E,X/K/N,ES/ET,N,-,#ERROR!,
52 - Amount of Budget Authority Appropriated,1900,1203,412600,Amounts Appropriated From Specific Invested TAFS - Receivable,B,D/C,,,P,,M,,,,X,SEQ,U/E,X/K/N,ES/ET,N,-,#ERROR!,1
52 - Amount of Budget Authority Appropriated,1900,1400,412600,Amounts Appropriated From Specific Invested TAFS - Receivable,B,D/C,,,B,,M,,,,X,SEQ/XXX,U,X/K/N,ES/ET,N,-,#ERROR!,1
52 - Amount of Budget Authority Appropriated,1900,1101,412600,Amounts Appropriated From Specific Invested TAFS - Receivable,E,D/C,,,P,,D,,,,X,XXX,U/E,X/K/N,ES/ET,N,#ERROR!,-,1
52 - Amount of Budget Authority Appropriated,1900,1201,412600,Amounts Appropriated From Specific Invested TAFS - Receivable,E,D/C,,,P,,M,,,,X,XXX,U/E,X/K/N,ES/ET,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1203,412600,Amounts Appropriated From Specific Invested TAFS - Receivable,E,D/C,,,P,,M,,,,X,SEQ,U/E,X/K/N,ES/ET,N,#ERROR!,-,1
52 - Amount of Budget Authority Appropriated,1900,1400,412600,Amounts Appropriated From Specific Invested TAFS - Receivable,E,D/C,,,B,,M,,,,X,SEQ/XXX,U,X/K/N,ES/ET,N,#ERROR!,-,1
52 - Amount of Budget Authority Appropriated,1900,1101,412700,Amounts Appropriated From Specific Invested TAFS - Payable,B,D/C,,,,,D,,,,X,XXX,U/E,X/K/N,ES/ET,N,-,#ERROR!,1
52 - Amount of Budget Authority Appropriated,1900,1200,412700,Amounts Appropriated From Specific Invested TAFS - Payable,B,D/C,,,,,M,,,,X,XXX,U/E,X/K/N,EG,N,-,#ERROR!,
52 - Amount of Budget Authority Appropriated,1900,1201,412700,Amounts Appropriated From Specific Invested TAFS - Payable,B,D/C,,,,,M,,,,X,XXX,U/E,X/K/N,ET,N,-,#ERROR!,
52 - Amount of Budget Authority Appropriated,1900,1201,412700,Amounts Appropriated From Specific Invested TAFS - Payable,B,D/C,,,,,M,,,,X,XXX,U,X/K/N,ES,N,-,#ERROR!,
52 - Amount of Budget Authority Appropriated,1900,1203,412700,Amounts Appropriated From Specific Invested TAFS - Payable,B,D/C,,,,,M,,,,X,SEQ,U/E,X/K/N,ET,N,-,#ERROR!,1
52 - Amount of Budget Authority Appropriated,1900,1203,412700,Amounts Appropriated From Specific Invested TAFS - Payable,B,D/C,,,,,M,,,,X,SEQ,U,X/K/N,ES,N,-,#ERROR!,1
52 - Amount of Budget Authority Appropriated,1900,1101,412700,Amounts Appropriated From Specific Invested TAFS - Payable,E,D/C,,,,,D,,,,X,XXX,U/E,X/K/N,ES/ET,N,#ERROR!,-,1
52 - Amount of Budget Authority Appropriated,1900,1200,412700,Amounts Appropriated From Specific Invested TAFS - Payable,E,D/C,,,,,M,,,,X,XXX,U/E,X/K/N,EG,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1201,412700,Amounts Appropriated From Specific Invested TAFS - Payable,E,D/C,,,,,M,,,,X,XXX,U/E,X/K/N,ET,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1201,412700,Amounts Appropriated From Specific Invested TAFS - Payable,E,D/C,,,,,M,,,,X,XXX,U,X/K/N,ES,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1203,412700,Amounts Appropriated From Specific Invested TAFS - Payable,E,D/C,,,,,M,,,,X,SEQ,U/E,X/K/N,ET,N,#ERROR!,-,1
52 - Amount of Budget Authority Appropriated,1900,1203,412700,Amounts Appropriated From Specific Invested TAFS - Payable,E,D/C,,,,,M,,,,X,SEQ,U,X/K/N,ES,N,#ERROR!,-,1
52 - Amount of Budget Authority Appropriated,1900,1101,412800,Amounts Appropriated From Specific Invested TAFS - Transfers-In,E,D/C,,,P,,D,,,,X,XXX,U/E,X/K/N,EG/ES/ET,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1200,412800,Amounts Appropriated From Specific Invested TAFS - Transfers-In,E,D/C,,,P,,M,,,,X,XXX,U/E,X/K/N,EG,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1201,412800,Amounts Appropriated From Specific Invested TAFS - Transfers-In,E,D/C,,,P,,M,,,,X,XXX,U/E,X/K/N,ET,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1203,412800,Amounts Appropriated From Specific Invested TAFS - Transfers-In,E,D/C,,,P,,M,,,,X,SEQ,U/E,X/K/N,ET,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1400,412800,Amounts Appropriated From Specific Invested TAFS - Transfers-In,E,D/C,,,B,,M,,,,X,SEQ/XXX,U,X/K/N,ES/ET,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1101,412900,Amounts Appropriated From Specific Invested TAFS - Transfers-Out,E,D/C,,,P,,D,,,,X,XXX,U/E,X/K/N,ES/ET,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1101,412900,Amounts Appropriated From Specific Invested TAFS - Transfers-Out,E,D/C,,,P,,D,,,,X,XXX,U,X/K/N,EG,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1200,412900,Amounts Appropriated From Specific Invested TAFS - Transfers-Out,E,D/C,,,P,,M,,,,X,XXX,U/E,X/K/N,EG,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1201,412900,Amounts Appropriated From Specific Invested TAFS - Transfers-Out,E,D/C,,,P,,M,,,,X,XXX,U/E,X/K/N,ES/ET,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1203,412900,Amounts Appropriated From Specific Invested TAFS - Transfers-Out,E,D/C,,,P,,M,,,,X,SEQ,U/E,X/K/N,ES/ET,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1422,412900,Amounts Appropriated From Specific Invested TAFS - Transfers-Out,E,D/C,,,B,,M,,,,X,XXX,U,X/K/N,ES/ET,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1138,413000,Appropriation To Liquidate Contract Authority Withdrawn,E,D/C,,,,,D,,,,X,,U,X/K/N,EC/EG/EM/EP/ER/ES/ET/TR,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1500,413100,Current-Year Contract Authority Realized,E,D/C,,,,,D,,,,X,,U,X/K/N,EG/EP/ER/ET,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1600,413100,Current-Year Contract Authority Realized,E,D/C,,,,,M,,,,X,,U,X/K/N,EG/EP/ER/ES/ET,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1826,413200,Substitution of Contract Authority,E,D/C,,,S,,,,,,X,,U,X/K/N,ER,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1500,413300,Decreases to Indefinite Contract Authority,E,D/C,,,,,D,,,,X,,U,X/K/N,EG/EP/ER/ET,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1600,413300,Decreases to Indefinite Contract Authority,E,D/C,,,,,M,,,,X,,U,X/K/N,EG/EP/ER/ET,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1137,413500,Contract Authority Liquidated,E,D/C,,,P,,D,,,,X,,U,X/K/N,EC/EG/EM/EP/ER/ES/ET/TR,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1238,413500,Contract Authority Liquidated,E,D/C,,,P,,M,,,,X,,U,X/K/N,EC/EG/EM/EP/ER/ES/ET/TR,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1727,413500,Contract Authority Liquidated,E,D/C,,,S,,D,,,,X,,U,X/K/N,EC/EG/EM/EP/ER/ES/ET/TR,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1826,413500,Contract Authority Liquidated,E,D/C,,,S,,M,,,,X,,U,X/K/N,EC/EG/EM/EP/ER/ES/ET/TR,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1137,413600,Contract Authority To Be Liquidated by Trust Funds,B,D/C,,,,,D,,,,X,,U,X/K/N,ET,N,-,#ERROR!,1
52 - Amount of Budget Authority Appropriated,1900,1238,413600,Contract Authority To Be Liquidated by Trust Funds,B,D/C,,,,,M,,,,X,,U,X/K/N,ET,N,-,#ERROR!,1
52 - Amount of Budget Authority Appropriated,1900,1137,413600,Contract Authority To Be Liquidated by Trust Funds,E,D/C,,,,,D,,,,X,,U,X/K/N,ET,N,#ERROR!,-,1
52 - Amount of Budget Authority Appropriated,1900,1238,413600,Contract Authority To Be Liquidated by Trust Funds,E,D/C,,,,,M,,,,X,,U,X/K/N,ET,N,#ERROR!,-,1
52 - Amount of Budget Authority Appropriated,1900,1510,413700,Transfers of Contract Authority - Allocation,B,C,,,,,D,,F,,X,,U,X/K/N,ET,N,-,#ERROR!,1
52 - Amount of Budget Authority Appropriated,1900,1511,413700,Transfers of Contract Authority - Allocation,B,D,,,,,D,,F,,X,,U,X/K/N,ET,N,-,#ERROR!,1
52 - Amount of Budget Authority Appropriated,1900,1610,413700,Transfers of Contract Authority - Allocation,B,C,,,,,M,,F,,X,,U,X/K/N,ET,N,-,#ERROR!,1
52 - Amount of Budget Authority Appropriated,1900,1611,413700,Transfers of Contract Authority - Allocation,B,D,,,,,M,,F,,X,,U,X/K/N,ET,N,-,#ERROR!,1
52 - Amount of Budget Authority Appropriated,1900,1510,413700,Transfers of Contract Authority - Allocation,E,C,,,,,D,,F,,X,,U,X/K/N,ET,N,#ERROR!,-,1
52 - Amount of Budget Authority Appropriated,1900,1511,413700,Transfers of Contract Authority - Allocation,E,D,,,,,D,,F,,X,,U,X/K/N,ET,N,#ERROR!,-,1
52 - Amount of Budget Authority Appropriated,1900,1610,413700,Transfers of Contract Authority - Allocation,E,C,,,,,M,,F,,X,,U,X/K/N,ET,N,#ERROR!,-,1
52 - Amount of Budget Authority Appropriated,1900,1611,413700,Transfers of Contract Authority - Allocation,E,D,,,,,M,,F,,X,,U,X/K/N,ET,N,#ERROR!,-,1
52 - Amount of Budget Authority Appropriated,1900,1100,413800,Appropriation To Liquidate Contract Authority,E,D/C,,,,,D,,,,X,,U,X/K/N,EG/EP/ER,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1101,413800,Appropriation To Liquidate Contract Authority,E,D/C,,,,,D,,,,X,,U,X/K/N,ES/ET,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1200,413800,Appropriation To Liquidate Contract Authority,E,D/C,,,,,M,,,,X,,U,X/K/N,EG/EP/ER,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1201,413800,Appropriation To Liquidate Contract Authority,E,D/C,,,,,M,,,,X,,U,X/K/N,ES/ET,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1139,414000,Substitution of Borrowing Authority,E,D/C,,,P,,D,F/P/T,,,X,,U,X/K/N,EG,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1239,414000,Substitution of Borrowing Authority,E,D/C,,,P,,M,F/P/T,,,X,,U,X/K/N,EP,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1728,414000,Substitution of Borrowing Authority,E,D/C,,,S,,D,F/P/T,,,X,,U,X/K/N,EC/EG/EM/EP/ER/ES/ET/TR,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1827,414000,Substitution of Borrowing Authority,E,D/C,,,S,,M,F/P/T,,,X,,U,X/K/N,EC/EG/EM/EP/ER/ES/ET/TR,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1300,414100,Current-Year Borrowing Authority Realized,E,D/C,,,,,D,P/T,,,X,,U,X/K/N,EC/EG/EM/EP/ER/ES/ET/TR,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1400,414100,Current-Year Borrowing Authority Realized,E,D/C,,,,,M,F/P/T,,,X,,U,X/K/N,EC/EG/EM/EP/ER/ES/ET/TR,D/G/N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1422,414200,Actual Repayment of Borrowing Authority Converted to Cash,E,D/C,,,,,,,,,X,,U,X/K/N,EP/ER,D/G,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1422,414200,Actual Repayment of Borrowing Authority Converted to Cash,E,D/C,,,,,,,,,X,,U,X/K/N,EG/EP/ER/TR,N,#ERROR!,-,
